片名,people,score,世界觀,作品劇情,動畫品質,勵志,大眾取向,心靈治癒,感動,熱血,男性取向,發人深省,聲優配音,角色設定,輕鬆歡樂,重視思考,音樂音效,題材創意
死亡遊行,0.0350387596899,0.927835051546,0.0,0.860465116279,0.638554216867,0.0,0.0,0.0,0.0,0.0,0.0,0.924242424242,0.0,0.544303797468,0.0,0.0,0.0,0.797101449275
一週的朋友。,0.0568475452196,0.948453608247,0.0,0.813953488372,0.674698795181,0.0,0.0,0.684931506849,0.746835443038,0.0,0.0,0.0,0.0,0.632911392405,0.0,0.0,0.0,0.0
亂步奇譚 Game of Laplace,0.018811369509,0.855670103093,0.0,0.779069767442,0.650602409639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645569620253,0.0,0.772727272727,0.0,0.565217391304
吹響吧！上低音號 第二季,0.0113695090439,0.969072164948,0.0,0.813953488372,0.963855421687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777777777778,0.759493670886,0.0,0.0,0.867469879518,0.0
Guilty Crown 罪惡王冠,0.303979328165,0.948453608247,0.0,0.813953488372,0.939759036145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634920634921,0.772151898734,0.0,0.0,0.807228915663,0.0
可塑性記憶,0.0805167958656,0.958762886598,0.0,0.732558139535,0.638554216867,0.0,0.0,0.0,0.810126582278,0.0,0.0,0.0,0.47619047619,0.582278481013,0.0,0.0,0.0,0.0
絕園的暴風雨,0.0911627906977,0.948453608247,0.671232876712,0.872093023256,0.698795180723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784810126582,0.0,0.0,0.0,0.565217391304
花開物語 HOME SWEET HOME,0.0197416020672,0.927835051546,0.0,0.813953488372,0.89156626506,0.630136986301,0.0,0.0,0.556962025316,0.0,0.0,0.0,0.0,0.708860759494,0.0,0.0,0.0,0.0
少女與戰車,0.125788113695,0.979381443299,0.0,0.488372093023,0.686746987952,0.0,0.0,0.0,0.0,0.340659340659,0.0,0.0,0.0,0.493670886076,0.0,0.0,0.0,0.68115942029
寄生獸,0.0557105943152,0.948453608247,0.0,0.906976744186,0.626506024096,0.0,0.0,0.0,0.0,0.0,0.0,0.681818181818,0.0,0.620253164557,0.0,0.0,0.0,0.782608695652
異國迷宮的十字路口,0.0429974160207,0.855670103093,0.0,0.627906976744,0.771084337349,0.0,0.0,0.72602739726,0.0,0.0,0.0,0.0,0.539682539683,0.772151898734,0.0,0.0,0.0,0.0
哆啦A夢 大雄的太陽王傳說,0.00341085271318,0.855670103093,0.0,0.872093023256,0.506024096386,0.0,0.796875,0.0,0.0,0.0,0.0,0.0,0.0,0.645569620253,0.0,0.0,0.0,0.608695652174
南鎌倉高校女子自行車社,0.00320413436693,0.948453608247,0.0,0.0,0.734939759036,0.0,0.0,0.520547945205,0.0,0.0,0.0,0.0,0.650793650794,0.405063291139,0.436781609195,0.0,0.0,0.0
鑽石王牌 第二季,0.018811369509,0.979381443299,0.0,0.523255813953,0.361445783133,0.438356164384,0.0,0.0,0.0,0.615384615385,0.0,0.0,0.0,0.46835443038,0.0,0.0,0.0,0.0
怪醫黑傑克 OVA,0.0450645994832,0.989690721649,0.0,0.837209302326,0.542168674699,0.0,0.0,0.0,0.0,0.0,0.0,0.863636363636,0.0,0.493670886076,0.0,0.0,0.0,0.405797101449
烏龍麵之國的金色毛毬,0.00361757105943,0.907216494845,0.0,0.697674418605,0.686746987952,0.0,0.0,0.890410958904,0.53164556962,0.0,0.0,0.0,0.0,0.53164556962,0.0,0.0,0.0,0.0
飆速宅男,0.017157622739,0.948453608247,0.0,0.755813953488,0.530120481928,0.643835616438,0.0,0.0,0.0,0.846153846154,0.0,0.0,0.0,0.708860759494,0.0,0.0,0.0,0.0
新我們這一家,0.0295607235142,0.979381443299,0.0,0.0,0.397590361446,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.68253968254,0.455696202532,0.793103448276,0.0,0.0,0.0
秒速 5 公分,0.0926098191214,0.958762886598,0.0,0.941860465116,0.963855421687,0.0,0.0,0.0,0.620253164557,0.0,0.0,0.0,0.0,0.379746835443,0.0,0.0,0.698795180723,0.0
神偷奶爸 2,0.00320413436693,0.917525773196,0.0,0.627906976744,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772151898734,1.0,0.0,0.0,0.0
旋風管家！ 第二季,0.142118863049,0.927835051546,0.0,0.767441860465,0.493975903614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936507936508,0.924050632911,0.0,0.0,0.0,0.550724637681
青之驅魔師,0.106563307494,0.907216494845,0.0,0.837209302326,0.759036144578,0.0,0.0,0.0,0.0,0.538461538462,0.0,0.0,0.619047619048,0.873417721519,0.0,0.0,0.0,0.0
潮與虎,0.0622222222222,0.969072164948,0.0,0.627906976744,0.409638554217,0.0,0.0,0.0,0.227848101266,0.593406593407,0.0,0.0,0.0,0.481012658228,0.0,0.0,0.0,0.0
KILL ME BABY 愛殺寶貝,0.0195348837209,0.824742268041,0.0,0.0,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.730158730159,0.772151898734,0.931034482759,0.0,0.0,0.492753623188
NAZOTOKINE,0.00031007751938,0.0,0.0,0.0,0.0,0.452054794521,0.515625,0.452054794521,0.0,0.0,0.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0
全部成為 F THE PERFECT INSIDER,0.0283204134367,0.917525773196,0.0,0.802325581395,0.457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.969696969697,0.0,0.579710144928
亞人 第二季,0.0066149870801,0.917525773196,0.0,0.848837209302,0.638554216867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.730158730159,0.721518987342,0.0,0.0,0.0,0.536231884058
新蠟筆小新 S1,0.00764857881137,0.979381443299,0.0,0.325581395349,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.278481012658,0.494252873563,0.0,0.0,0.347826086957
果然我的青春戀愛喜劇搞錯了。,0.199276485788,0.969072164948,0.0,0.779069767442,0.469879518072,0.0,0.0,0.0,0.0,0.0,0.0,0.80303030303,0.507936507937,0.79746835443,0.0,0.0,0.0,0.0
TARI TARI,0.111627906977,0.948453608247,0.0,0.697674418605,0.843373493976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.730158730159,0.607594936709,0.0,0.0,0.746987951807,0.0
